stu_ID,Name,Email,Phone,Company,Joining_Date,Fake_Aadhaar,Salary
7078,Victor Kaul,jagratisangha@example.com,05696509587,"Cheema, Saxena and Dhawan",2025-08-22,343519019616,96348
6378,Abha Savant,jsingh@example.net,02322754248,Rai-Srinivasan,2024-07-29,372305043360,193123
7381,Meghana Dani,chamelidara@example.com,09497288086,"Chand, More and Madan",2024-12-20,492649966820,36718
2152,Krisha Bal,alkagopal@example.com,3317144114,Gade-Nagarajan,2026-03-21,963237332296,114042
8479,Faqid Varghese,gaurangmann@example.org,+919379713237,Mital-Mishra,2023-08-17,337140369782,109395
5426,Banjeet Jain,eshana56@example.com,2983290056,"Menon, Shankar and Bains",2024-11-06,258673859262,120684
3784,Pranav Pal,wshankar@example.com,+919386539432,"Dhingra, Nori and Rama",2026-05-15,004217831416,127710
4521,Manya Kant,krishajoshi@example.com,01175541622,Singh PLC,2025-04-20,292053822417,178886
3366,Gautami Sen,varsharamesh@example.com,9370998997,"Amble, Batta and Narasimhan",2025-04-12,705816624548,168504
8000,Christopher Biswas,jhalak54@example.org,01090059117,Murty Ltd,2025-05-19,102228840168,121865
6063,Warjas Gaba,hpurohit@example.net,+910094352565,Kalla Group,2024-11-04,487235583729,128976
1039,Chaman Chadha,dvirk@example.org,06334039155,Sabharwal-Ramaswamy,2023-11-23,664421921041,39316
4913,Max Oak,utkarshsavant@example.com,4371977287,Trivedi PLC,2024-02-23,616331037261,178355
9628,Amruta Kade,ssridhar@example.com,3970033935,Mallick and Sons,2025-12-25,780760152460,133541
6597,Lekha Shankar,hemangini93@example.net,3208640390,Sem and Sons,2024-04-30,337819932725,115640
9947,Damini Tara,chanakya16@example.org,04200905882,Mittal LLC,2025-07-08,301394445453,44436
3371,Yahvi Pandit,madanyauvani@example.com,04525895400,Agrawal and Sons,2024-07-23,045775610176,187680
2875,Jeremiah Grover,aachalyohannan@example.com,+914676321315,"Yogi, Talwar and Bawa",2024-03-26,619769821603,197479
2342,Ladli Sankar,guptanachiket@example.org,2339231216,Chand PLC,2023-09-26,640456400825,109525
8293,Tanmayi Thakkar,ikshita67@example.net,4973638224,Kalita-Sur,2023-08-29,848787857472,139257
5803,Darsh Pandya,udyati44@example.com,06827706981,"Krishnan, Deol and Buch",2025-04-13,051988093452,80761
7011,Maanav Subramanian,xuppal@example.org,02226741637,Ravi PLC,2025-09-03,048220871469,48405
8663,Chanakya Nayak,xavier37@example.com,1233707744,"Kalita, Mohan and Bali",2024-10-15,279400325988,117188
4344,Janaki Agrawal,anandfrado@example.net,+916929827281,Das-Atwal,2025-06-09,568264091634,152288
2924,Ekta Srinivas,ranveeroak@example.net,6089476835,Gola-Rama,2023-12-20,581978281684,138962
8354,Harsh Kala,finnkunda@example.org,05147012802,"Shankar, Vyas and Sachar",2025-11-13,148444272302,195454
3662,Charles Atwal,chamelidasgupta@example.com,02594448665,Chandran Group,2026-03-02,956057277319,111127
9678,Dev Joshi,igrover@example.org,04463037287,Raval Ltd,2025-08-12,157104789224,149092
2512,Yahvi Choudhary,fhora@example.com,08234573726,Savant-Sahni,2026-02-15,561813530765,195472
7717,Edhitha Nagi,hemang88@example.org,+914744983913,"Rai, Bhardwaj and Ram",2023-09-26,885892889471,69773
1125,Teerth Shankar,wdube@example.net,09025205997,Khare Group,2024-07-07,270020248504,93772
4691,Bhavini Dalal,niharikachakraborty@example.net,02396245333,"Batra, Ganesan and Khatri",2025-10-16,058633044752,99512
1045,Gautam Seth,onkar19@example.net,04465165159,Malhotra-Koshy,2025-02-22,396387779571,139616
2244,Ekaja Talwar,soodsathvik@example.org,9709016611,Chandran LLC,2023-12-16,239368812087,94732
7734,Rajeshri Saran,samrahemal@example.com,+916798940844,Mitter PLC,2023-09-19,326874990498,139382
4993,Charles Trivedi,gaurangchhabra@example.org,01152530904,"Borde, Dube and Dutt",2026-03-17,754877303476,165924
5209,Adya Parmer,wparekh@example.com,4920217733,"Viswanathan, Sunder and Shanker",2023-10-26,958856481467,142852
1448,Kai Varughese,indaliraman@example.com,+919728115146,Sethi-Dani,2024-07-10,313274954329,36369
3231,Balveer Kalita,hema20@example.com,02994012713,Shah-Apte,2024-12-28,922756952499,170381
9686,Bahadurjit Chana,aarushkapur@example.com,+917435713511,Mani Group,2026-02-07,382318436862,92627
6440,Anika Choudhury,gopal21@example.com,6138924590,Mammen-Hari,2024-07-26,696145892708,189332
4712,Alexander Ganesan,ekalingaoza@example.org,+914282949680,Lal Inc,2024-01-08,916790906175,62187
7715,Balveer Balay,falan13@example.org,04735095869,Vala PLC,2023-11-10,419437226424,30135
9682,Falan Verma,devanshchaudry@example.com,09450706913,Karnik-Keer,2025-04-23,021971929783,50222
5629,Chandresh Kala,olivergara@example.org,08367008472,"Deshpande, Dey and Ghose",2026-05-15,279894952304,130169
4884,Harish More,sahotabaghyawati@example.org,+915170960806,Narasimhan Group,2025-04-26,093441984650,64792
5323,Abdul Pandya,anikaom@example.org,5377360828,Brar Ltd,2026-05-26,810633341414,190720
5826,Krisha Mane,xalakdube@example.net,01944857464,Ahuja Inc,2025-06-03,537023930251,27091
5189,Patrick Chaudhari,devdey@example.org,09503240633,Oommen-Bajaj,2026-04-23,949719519829,64397
6268,Vedhika Taneja,watikakala@example.com,+913586180032,Mahal-Madan,2025-03-29,992205248635,70597
3671,Saanvi Bakshi,asethi@example.net,03233308787,Jha Inc,2025-06-19,446894397193,25580
5395,Aadhya Gola,vkata@example.net,3349689787,"Madan, Choudhury and Arora",2024-12-16,065611769253,156235
9707,Ekaja Rege,gargnimrat@example.org,06367765957,"Mangat, Yadav and Kar",2023-11-12,559147673100,105695
6271,Tripti Bal,borayug@example.net,6436476188,"Mutti, Sidhu and Thakur",2024-11-29,258366008531,168845
7122,Falan Savant,patlaurishilla@example.org,+919207228909,Wadhwa-Goel,2024-09-13,146215012878,103036
3524,Jasmit Mody,oscar28@example.com,4598437716,"Wason, Virk and Viswanathan",2025-04-26,774027305210,196199
1869,Advika Krishnamurthy,daniel20@example.net,05998245243,Walla and Sons,2025-07-16,088678107418,172411
6283,Bakhshi Chand,bhardwajzarna@example.org,05719560452,"Shankar, Banik and Purohit",2025-07-10,272212772993,74515
5149,Chandran Mani,badamitamanna@example.net,5002614969,Ganesan-Sur,2025-09-11,542257469907,67858
9810,Sai Padmanabhan,zarnatandon@example.org,5212494257,Hayer Group,2026-05-16,422383235854,30970
1767,Kamala Banerjee,ybutala@example.com,2861712432,Patel-Andra,2025-09-09,062984757704,60183
5485,Sai Baria,vasatikasarkar@example.org,4889592489,Cherian Ltd,2024-04-26,225507865012,84540
7541,Samarth Dar,chandanichaudhry@example.net,02777773952,Gour Ltd,2023-11-21,610534056253,107182
9744,Warjas Verma,widishasahota@example.com,08539884848,Bhatt-Butala,2026-04-06,634515788516,28886
6405,Omisha Rai,moreekani@example.com,+916379616299,Arya Ltd,2025-06-15,989404111093,189248
